processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
BJNSM700-11	NSMT-DNA8935	1851003	NA	2009.221	National Museum of Nature and Science, Tokyo	NA	BOLD:AAA8100	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	19931	Anas poecilorhyncha	NA	NA	Isao Nishiumi	NA	J. R. Forster, 1781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	NA	S	NA	NA	NA	NA	NA	24.265	123.874	NA	NA	NA	NA	NA	NA	Japan	Okinawa	Okinawa	Taketomi	Iriomotejima I.	NA	NA	NA	NA	NA	NA	NA	NA	NA
BOTW481-07	USNM 622360	551636	USNM:622360	B12751	Smithsonian Institution	NA	BOLD:AAD7995	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	88985	Nomonyx	88986	Nomonyx dominicus	NA	NA	NA	NA	Linnaeus, 1766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	Masked Duck	360g	2.12	-59.22	NA	NA	244	NA	NA	NA	Guyana	NA	Parabara Savannah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTNHM10260-24	NHMUK014561227	20733619	NHMUK014561227	NHMUK014561227	Natural History Museum, London	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	52487	Netta	52488	Netta rufina	NA	NA	Michelle O'brien	NA	Pallas, 1773	NA	NA	NA	NA	Dr Michelle O'Brien, Ms Rosa Lopez	NA	NA	NA	NA	NA	NA	adult	M	NA	NA	NA	NA	NA	NA	51.667	-4.121	NA	NA	NA	NA	NA	NA	United Kingdom	NA	NA	NA	Llanelli WWT, Llwynhendy, Llanelli SA14 9SH	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTNHM10261-24	NHMUK014561239	20733620	NHMUK014561239	NHMUK014561239	Natural History Museum, London	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3211	Aythya	10083	Aythya marila	NA	NA	Michelle O'brien	NA	Linnaeus, 1761	NA	NA	NA	NA	Dr Michelle O'Brien, Ms Rosa Lopez	NA	NA	NA	NA	NA	NA	adult	M	NA	NA	NA	NA	NA	NA	51.74	-2.405	NA	NA	NA	NA	NA	NA	United Kingdom	England	Gloucestershire	NA	Slimbridge, WWT Slimbridge	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTNHM10269-24	NHMUK014561228	20733628	NHMUK014561228	NHMUK014561228	Natural History Museum, London	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3211	Aythya	10083	Aythya marila	NA	NA	Michelle O'brien	NA	Linnaeus, 1761	NA	NA	NA	NA	Dr Michelle O'Brien, Ms Rosa Lopez	NA	NA	NA	NA	NA	NA	adult	F	NA	NA	NA	NA	NA	NA	51.74	-2.405	NA	NA	NA	NA	NA	NA	United Kingdom	England	Gloucestershire	NA	Slimbridge, WWT Slimbridge	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR10914-19	MH635643	9769856	12880	NA	Mined from GenBank, NCBI	NA	BOLD:AAA8100	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	NA	NA	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-43.8277	170.69	Coordinates from country centroid	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR12883-19	MH676086	10808857	OMNH<USA-OK>:23166	NA	Mined from GenBank, NCBI	NA	BOLD:ACF5624	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	17391	Branta canadensis	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR12886-19	MK129189	10808860	personal:Chevonne Reynolds:BAR1568B1	NA	Mined from GenBank, NCBI	NA	BOLD:AAA8100	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	112858	Anas undulata	NA	NA	NA	NA	C. F. Dubois, 1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-26.58	25.58	NA	NA	NA	NA	NA	NA	South Africa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR1639-09	FJ808630	1117099	FJ808630	NA	Mined from GenBank, NCBI	NA	BOLD:AAD2396	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	7405	Cairina	10111	Cairina moschata	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	Dong-hun Lee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	South Korea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR3073-12	JN850728	2940935	NA	JN850728	Mined from GenBank, NCBI	NA	BOLD:AAA8100	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	12104	Anas platyrhynchos	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Probosciger aterrimus	38.8208	-96.3316	Coordinates from country centroid	NA	NA	NA	NA	NA	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR3548-13	JN703198	3585909	JN703198	JN703198	Mined from GenBank, NCBI	NA	BOLD:ABZ2942	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	751421	Mareca	809071	Mareca penelope	NA	NA	NA	NA	(Linnaeus, 1758)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.4024	127.762	Coordinates from country centroid	NA	NA	NA	NA	NA	South Korea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR3585-13	JN788905	3586843	JN788905	JN788905	Mined from GenBank, NCBI	NA	BOLD:AAB6382	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	857230	Spatula	857231	Spatula clypeata	NA	NA	NA	NA	(Linnaeus, 1758)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR485-07	EF515735	651462	EF515735	NA	Mined from GenBank, NCBI	NA	BOLD:AAB5009	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	12142	Anas acuta	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	South Korea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR5320-13	KC439303	3659830	KC439303	KC439303	Mined from GenBank, NCBI	NA	BOLD:AAE5957	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	19934	Anas crecca	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5863	81.173	Coordinates from country centroid	NA	NA	NA	NA	NA	India	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR6308-15	KT075276	6169405	USNM:Birds:649706	KT075276	Mined from GenBank, NCBI	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	857230	Spatula	857231	Spatula clypeata	NA	NA	NA	NA	(Linnaeus, 1758)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	taxon:75838	NA	48.5175	-101.737	NA	NA	NA	NA	NA	NA	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
